sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,63.27,33.87,51.40,51.40,-18.77
0.10,50.37,23.31,40.11,40.11,-20.37
0.25,35.90,17.26,17.86,17.86,-50.25
0.50,9.36,3.94,-17.99,3.94,-57.92
0.75,-19.21,-13.39,-43.71,-13.39,30.30
1.00,-47.65,-38.65,-77.45,-38.65,18.88
