sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.49,0.52,3.89,3.89,11.35
0.10,3.00,0.31,4.01,4.01,33.82
0.25,-1.23,0.81,2.97,2.97,340.84
0.50,-12.11,-0.05,-1.17,-0.05,99.57
0.75,-33.34,-0.88,-9.55,-0.88,97.36
1.00,-67.13,-3.06,-19.94,-3.06,95.44
