sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-410.73,-434.09,-413.32,-413.32,-0.63
0.10,-435.11,-454.11,-459.05,-454.11,-4.37
0.25,-474.03,-476.18,-517.90,-476.18,-0.45
0.50,-565.44,-531.69,-648.52,-531.69,5.97
0.75,-716.48,-615.14,-881.04,-615.14,14.14
1.00,-1053.52,-738.32,-1302.47,-738.32,29.92
