sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,51.10,43.06,41.00,43.06,-15.72
0.10,47.36,29.71,32.88,32.88,-30.56
0.25,30.03,26.11,17.09,26.11,-13.03
0.50,7.16,6.19,-8.33,6.19,-13.54
0.75,-21.47,-11.45,-40.28,-11.45,46.68
1.00,-49.05,-31.34,-70.80,-31.34,36.11
