sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-60.11,-59.04,-67.88,-59.04,1.78
0.10,-63.83,-55.45,-63.22,-55.45,13.13
0.25,-84.56,-59.57,-64.36,-59.57,29.55
0.50,-146.86,-61.42,-66.51,-61.42,58.18
0.75,-244.45,-57.68,-63.97,-57.68,76.41
1.00,-389.64,-58.63,-64.16,-58.63,84.95
