sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-434.16,-451.77,-425.42,-425.42,2.01
0.10,-449.89,-465.57,-459.46,-459.46,-2.13
0.25,-493.91,-490.37,-523.41,-490.37,0.72
0.50,-579.19,-545.04,-662.06,-545.04,5.90
0.75,-731.86,-628.87,-900.09,-628.87,14.07
1.00,-1075.76,-745.57,-1337.52,-745.57,30.69
