sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.91,-11.01,-12.86,-11.01,-23.60
0.10,-10.91,-10.88,-13.24,-10.88,0.25
0.25,-14.46,-11.63,-13.39,-11.63,19.54
0.50,-22.47,-12.63,-13.74,-12.63,43.80
0.75,-31.13,-13.27,-14.09,-13.27,57.36
1.00,-41.59,-13.93,-14.96,-13.93,66.49
