sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-30.78,-58.08,-64.84,-58.08,-88.67
0.10,-35.60,-60.60,-64.33,-60.60,-70.24
0.25,-59.35,-61.78,-63.35,-61.78,-4.10
0.50,-122.88,-61.05,-64.19,-61.05,50.31
0.75,-246.01,-59.92,-63.15,-59.92,75.64
1.00,-393.14,-59.52,-66.01,-59.52,84.86
