sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-424.25,-448.13,-415.91,-415.91,1.97
0.10,-446.03,-458.19,-458.49,-458.19,-2.73
0.25,-480.53,-481.15,-520.17,-481.15,-0.13
0.50,-564.52,-539.54,-667.68,-539.54,4.43
0.75,-723.07,-618.17,-905.73,-618.17,14.51
1.00,-1076.20,-730.79,-1336.19,-730.79,32.10
