sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-9.09,-10.69,-13.09,-10.69,-17.67
0.10,-11.07,-11.02,-13.53,-11.02,0.39
0.25,-15.22,-11.42,-13.61,-11.42,25.00
0.50,-22.00,-12.37,-13.57,-12.37,43.78
0.75,-32.35,-13.41,-14.10,-13.41,58.54
1.00,-40.70,-14.13,-14.25,-14.13,65.28
