sp_prob,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
0.00,88.05,-31.54,2.94,16.10,61.65,-21.80,2.06,18.16,55.31,-20.78,1.84,18.32,85.09,-29.78,2.84,16.23,57.08,-22.02,1.90,16.36,76.09,-28.11,2.54,15.59,64.50,-24.13,2.15,16.48,61.65,-21.80,-29.98,30.89
0.10,73.20,-27.05,2.44,16.43,51.26,-19.90,1.71,18.19,48.98,-19.37,1.63,18.57,73.61,-26.92,2.45,16.37,51.23,-23.74,1.71,17.07,62.81,-24.25,2.09,16.43,49.73,-22.42,1.66,17.20,51.26,-19.90,-29.97,26.40
0.25,58.50,-26.34,1.95,16.91,43.91,-19.27,1.46,18.20,43.31,-22.73,1.44,18.66,60.04,-25.14,2.00,16.72,38.59,-24.28,1.29,17.49,49.46,-23.56,1.65,17.64,42.86,-25.70,1.43,17.44,43.91,-19.27,-24.94,26.83
0.50,31.54,-28.28,1.05,19.05,31.05,-21.52,1.03,18.83,29.18,-27.74,0.97,19.35,31.99,-22.95,1.07,18.73,24.98,-35.96,0.83,18.74,33.15,-27.41,1.10,17.66,24.71,-33.12,0.82,18.98,31.05,-21.52,-1.55,23.90
0.75,16.12,-40.97,0.54,19.46,19.31,-28.46,0.64,19.49,18.26,-40.93,0.61,19.88,22.01,-31.57,0.73,19.01,15.79,-52.70,0.53,19.36,18.64,-40.07,0.62,19.27,13.12,-54.56,0.44,19.88,19.31,-28.46,19.77,30.52
1.00,11.85,-57.94,0.40,20.36,14.06,-42.76,0.47,20.18,13.12,-61.31,0.44,20.00,14.44,-39.35,0.48,19.51,12.97,-71.25,0.43,19.52,13.76,-59.45,0.46,19.97,12.94,-74.94,0.43,20.03,14.06,-42.76,18.67,26.20
