sp_prob,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
0.00,149.81,-53.39,4.99,13.69,72.64,-26.51,2.42,17.40,75.97,-27.62,2.53,17.15,144.71,-51.50,4.82,13.67,93.56,-34.11,3.12,14.46,127.39,-45.34,4.25,13.80,104.03,-37.52,3.47,14.60,93.56,-26.51,-37.55,50.35
0.10,121.61,-45.42,4.05,14.51,67.12,-25.89,2.24,17.53,55.61,-21.89,1.85,18.16,114.34,-43.19,3.81,14.77,78.64,-35.10,2.62,15.18,100.88,-37.90,3.36,14.89,82.76,-35.37,2.76,15.57,78.64,-25.89,-35.34,43.00
0.25,84.15,-36.52,2.81,15.71,44.40,-22.43,1.48,18.58,51.60,-25.18,1.72,18.36,88.72,-38.00,2.96,15.22,55.58,-36.67,1.85,16.05,71.17,-32.21,2.37,16.26,54.98,-34.26,1.83,16.92,55.58,-22.43,-33.96,38.57
0.50,42.04,-35.36,1.40,17.54,31.27,-31.74,1.04,18.68,30.64,-30.31,1.02,19.07,42.56,-31.77,1.42,17.05,25.39,-46.39,0.85,18.89,42.30,-36.63,1.41,17.45,27.41,-41.22,0.91,18.12,31.27,-31.74,-25.60,10.24
0.75,19.69,-49.11,0.66,19.17,17.21,-45.70,0.57,20.01,17.14,-47.08,0.57,19.83,24.11,-47.09,0.80,18.54,15.34,-63.90,0.51,19.11,22.31,-46.48,0.74,18.63,16.27,-66.93,0.54,19.02,17.21,-45.70,-12.57,6.93
1.00,12.68,-70.44,0.42,19.66,11.96,-63.99,0.40,20.18,10.99,-69.98,0.37,20.33,13.05,-63.19,0.43,19.66,10.99,-90.34,0.37,19.77,13.24,-73.31,0.44,19.48,11.03,-89.44,0.37,19.73,11.96,-63.99,-5.62,9.15
