delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,62.29,-21.98,2.08,15.04,38.77,-14.30,1.29,18.21,40.61,-14.50,1.35,18.30,68.03,-23.72,2.27,15.15,49.50,-19.00,1.65,15.60,68.96,-24.35,2.30,14.91,51.23,-19.02,1.71,15.73,49.50,-14.30,-20.53,34.94
2,48.49,-17.72,1.62,15.91,36.60,-14.02,1.22,17.86,29.93,-11.34,1.00,18.62,45.90,-16.84,1.53,16.43,40.73,-16.64,1.36,16.12,50.25,-18.71,1.68,15.68,39.19,-15.57,1.31,15.87,40.73,-14.02,-16.01,20.88
3,35.62,-14.62,1.19,17.16,31.43,-12.89,1.05,17.92,29.66,-12.28,0.99,18.48,36.45,-14.36,1.22,17.23,30.23,-14.38,1.01,17.31,40.84,-16.20,1.36,16.42,32.70,-14.32,1.09,16.67,31.43,-12.89,-11.79,11.86
5,26.81,-15.55,0.89,17.99,22.50,-12.83,0.75,19.10,24.49,-14.40,0.82,18.74,27.19,-14.92,0.91,17.86,22.54,-15.54,0.75,18.18,28.99,-16.54,0.97,17.50,24.30,-15.85,0.81,17.55,22.54,-12.83,-15.94,17.48
8,23.70,-21.94,0.79,18.51,16.35,-18.29,0.55,20.00,18.90,-20.23,0.63,19.52,22.88,-19.88,0.76,18.28,18.79,-24.41,0.63,18.78,21.68,-22.67,0.72,18.55,18.52,-23.75,0.62,18.86,18.79,-18.29,-20.73,16.65
