delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,73.88,-24.79,2.46,14.63,51.49,-17.43,1.72,17.16,51.52,-17.31,1.72,17.14,77.89,-26.15,2.60,14.79,56.44,-18.95,1.88,14.67,69.49,-23.30,2.32,14.39,60.60,-20.34,2.02,15.23,56.44,-17.43,-23.60,29.69
2,47.77,-16.11,1.59,15.72,37.99,-12.80,1.27,17.61,40.58,-13.65,1.35,17.25,49.65,-16.75,1.66,15.90,41.44,-13.95,1.38,15.85,46.39,-15.63,1.55,15.40,41.21,-13.98,1.37,15.64,41.44,-12.80,-13.27,20.54
3,36.83,-12.51,1.23,16.55,35.85,-12.16,1.20,17.29,35.62,-12.14,1.19,17.55,37.65,-12.73,1.25,16.70,33.52,-11.40,1.12,16.50,39.90,-13.56,1.33,15.98,30.30,-10.27,1.01,17.12,35.85,-11.40,-2.65,8.89
5,27.11,-9.46,0.90,17.57,28.50,-9.90,0.95,18.08,30.71,-10.72,1.02,17.75,26.29,-9.14,0.88,17.37,27.56,-9.81,0.92,17.24,30.30,-10.68,1.01,17.21,29.18,-10.36,0.97,17.02,28.50,-9.81,5.12,-3.71
8,21.64,-9.48,0.72,18.11,25.20,-10.49,0.84,18.52,26.66,-10.87,0.89,18.13,23.85,-10.18,0.80,17.36,23.40,-11.57,0.78,17.81,23.18,-10.61,0.77,17.99,22.20,-10.83,0.74,17.66,25.20,-10.49,16.46,-10.60
