delay_k,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1,73.91,-28.23,2.46,15.50,44.89,-17.78,1.50,18.32,47.40,-18.32,1.58,17.91,78.75,-29.36,2.62,14.86,53.17,-21.00,1.77,15.76,67.20,-25.07,2.24,15.31,59.33,-23.07,1.98,15.63,53.17,-17.78,-28.06,37.01
2,45.38,-17.98,1.51,17.09,35.44,-14.52,1.18,18.30,32.48,-13.51,1.08,18.66,49.91,-19.82,1.66,16.50,39.49,-17.04,1.32,16.73,43.88,-17.42,1.46,16.71,40.27,-17.23,1.34,17.19,39.49,-14.52,-12.98,19.25
3,31.50,-14.06,1.05,17.46,31.99,-14.36,1.07,18.23,28.31,-13.21,0.94,18.79,30.23,-13.94,1.01,17.98,33.19,-15.77,1.11,17.21,33.23,-14.65,1.11,17.09,28.73,-14.40,0.96,18.15,33.19,-14.36,5.36,-2.15
5,22.05,-14.40,0.73,18.36,20.02,-13.61,0.67,19.58,20.81,-14.06,0.69,19.75,22.50,-15.21,0.75,18.14,21.60,-16.12,0.72,18.58,22.88,-14.93,0.76,18.49,22.39,-15.34,0.75,18.09,21.60,-13.61,-2.04,5.50
8,16.16,-21.47,0.54,19.36,16.16,-21.32,0.54,20.20,16.20,-21.18,0.54,20.06,15.75,-20.98,0.53,19.52,16.43,-25.64,0.55,19.81,17.93,-21.81,0.60,19.29,15.38,-24.48,0.51,19.45,16.43,-21.32,1.62,0.71
