sp_prob,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
0.00,83.33,-29.70,2.78,16.66,62.21,-22.26,2.07,18.09,62.02,-22.28,2.07,17.89,88.28,-31.09,2.94,15.54,55.80,-21.21,1.86,16.31,77.47,-28.01,2.58,15.81,62.89,-24.19,2.10,16.46,62.21,-21.21,-25.34,28.58
0.10,73.20,-27.43,2.44,16.64,49.80,-18.84,1.66,18.46,50.55,-19.94,1.69,18.66,78.30,-28.58,2.61,16.31,53.02,-25.32,1.77,16.22,63.71,-25.05,2.12,16.50,54.75,-23.40,1.82,16.60,53.02,-18.84,-27.56,31.30
0.25,56.29,-27.00,1.88,17.06,43.91,-19.18,1.46,18.67,43.58,-21.42,1.45,18.76,56.40,-24.53,1.88,16.98,40.09,-25.59,1.34,17.94,51.23,-24.20,1.71,17.52,39.98,-24.62,1.33,17.54,43.91,-19.18,-21.99,28.97
0.50,36.98,-32.93,1.23,18.09,29.44,-21.94,0.98,18.83,28.31,-28.06,0.94,19.31,32.59,-22.56,1.09,18.50,22.46,-33.76,0.75,18.61,31.46,-29.45,1.05,18.40,26.77,-35.89,0.89,18.54,29.44,-21.94,-20.39,33.35
0.75,18.26,-41.20,0.61,19.62,21.19,-30.51,0.71,19.49,20.21,-41.84,0.67,19.57,21.98,-30.07,0.73,18.98,15.75,-50.55,0.53,19.85,18.86,-43.36,0.63,19.51,17.44,-51.82,0.58,19.23,21.19,-30.51,16.02,25.96
1.00,13.12,-60.47,0.44,19.84,13.39,-41.16,0.45,20.12,12.11,-57.80,0.40,20.63,13.12,-39.23,0.44,19.70,11.25,-74.71,0.38,20.05,14.62,-58.96,0.49,19.78,11.44,-76.55,0.38,20.20,13.39,-41.16,2.00,31.93
