sp_prob,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
0.00,98.40,-33.73,3.28,14.37,48.90,-17.36,1.63,18.08,50.77,-17.83,1.69,17.62,100.72,-34.98,3.36,14.24,79.05,-28.64,2.63,14.39,106.69,-37.06,3.56,13.87,74.47,-26.52,2.48,14.98,79.05,-17.36,-19.66,48.53
0.10,88.61,-31.99,2.95,14.30,42.15,-16.25,1.41,18.16,45.79,-18.13,1.53,18.38,86.59,-31.44,2.89,15.07,59.44,-26.25,1.98,15.69,93.41,-34.50,3.11,14.53,63.30,-27.07,2.11,15.61,59.44,-16.25,-32.92,49.20
0.25,60.38,-26.79,2.01,15.97,39.23,-18.55,1.31,18.46,37.05,-18.53,1.24,18.44,65.14,-27.03,2.17,15.56,44.10,-29.14,1.47,16.57,72.11,-30.64,2.40,14.75,42.83,-27.65,1.43,17.20,44.10,-18.55,-26.96,30.75
0.50,37.24,-30.89,1.24,17.16,21.52,-23.30,0.72,19.74,29.14,-26.64,0.97,18.29,36.86,-27.14,1.23,17.22,27.23,-39.85,0.91,17.76,44.96,-35.16,1.50,16.26,27.30,-40.06,0.91,17.86,27.23,-23.30,-26.89,24.57
0.75,22.73,-41.97,0.76,18.08,19.43,-35.29,0.65,19.54,19.91,-38.32,0.66,19.14,24.60,-36.67,0.82,17.94,16.84,-57.34,0.56,18.64,24.26,-40.81,0.81,17.69,17.29,-59.27,0.58,18.68,19.43,-35.29,-14.52,15.91
1.00,15.41,-61.67,0.51,18.69,16.46,-45.34,0.55,19.09,13.28,-59.46,0.44,19.86,17.89,-52.57,0.60,18.45,12.26,-81.07,0.41,19.20,13.09,-61.43,0.44,19.51,10.46,-79.01,0.35,19.80,16.46,-45.34,6.81,26.49
