delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-417.72,-436.42,-430.78,-430.78,-3.13
2,-441.84,-449.33,-484.05,-449.33,-1.70
3,-485.51,-474.13,-544.05,-474.13,2.34
5,-564.38,-517.07,-649.67,-517.07,8.38
8,-674.10,-577.77,-810.75,-577.77,14.29
