delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-59.36,-57.08,-62.92,-57.08,3.84
2,-60.27,-58.48,-63.99,-58.48,2.97
3,-65.65,-60.13,-64.00,-60.13,8.42
5,-84.17,-59.23,-62.01,-59.23,29.64
8,-115.13,-61.73,-65.21,-61.73,46.38
