delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-31.53,-58.46,-67.72,-58.46,-85.42
2,-31.85,-59.69,-66.23,-59.69,-87.43
3,-37.42,-59.64,-64.20,-59.64,-59.39
5,-55.45,-60.78,-63.71,-60.78,-9.61
8,-98.60,-59.89,-66.55,-59.89,39.26
