delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,36.59,25.14,34.65,34.65,-5.29
2,28.21,19.96,26.92,26.92,-4.55
3,20.66,16.87,19.28,19.28,-6.72
5,11.71,10.19,10.17,10.19,-12.96
8,-1.94,1.18,-3.69,1.18,160.66
