noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-8.74,-8.71,-10.64,-13.44,-14.61,-10.64,-22.26
0.00,0.40,-8.74,-10.75,-11.10,-13.68,-14.94,-11.10,-3.20
0.00,0.80,-8.74,-15.32,-11.49,-13.50,-14.92,-11.49,25.03
0.00,1.20,-8.74,-19.69,-12.21,-13.82,-15.34,-12.21,37.99
0.00,1.60,-8.74,-22.79,-12.59,-13.98,-15.71,-12.59,44.75
0.00,2.00,-8.74,-24.04,-13.32,-13.92,-15.56,-13.32,44.62
0.00,2.40,-8.74,-26.32,-13.42,-13.80,-15.72,-13.42,49.02
0.00,2.80,-8.74,-26.85,-13.11,-13.55,-16.11,-13.11,51.16
0.00,3.00,-8.74,-27.84,-13.39,-13.96,-16.15,-13.39,51.90
