noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,52.44,52.22,23.03,18.39,49.12,49.12,-5.94
1.00,1.00,52.44,12.93,11.19,8.96,16.75,16.75,29.57
1.00,2.00,52.44,1.83,4.77,4.78,8.79,8.79,378.93
1.00,3.00,52.44,-2.26,2.14,-0.64,8.06,8.06,456.03
