noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-450.56,-453.54,-465.36,-430.08,-682.38,-430.08,5.17
0.00,0.40,-450.56,-467.53,-481.03,-461.58,-931.09,-461.58,1.27
0.00,0.80,-450.56,-526.96,-514.78,-538.68,-1757.47,-514.78,2.31
0.00,1.20,-450.56,-573.13,-549.03,-609.63,-2630.11,-549.03,4.20
0.00,1.60,-450.56,-607.42,-574.09,-657.96,-3452.72,-574.09,5.49
0.00,2.00,-450.56,-635.34,-591.47,-695.60,-4040.64,-591.47,6.90
0.00,2.40,-450.56,-653.05,-609.05,-731.05,-4535.36,-609.05,6.74
0.00,2.80,-450.56,-680.69,-615.33,-759.10,-4952.16,-615.33,9.60
0.00,3.00,-450.56,-684.98,-628.41,-760.30,-5044.51,-628.41,8.26
