sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-402.86,0.87,-437.29,3.73,-407.90,6.39,-407.90,-1.25
0.10,-432.04,0.85,-454.34,3.81,-449.51,6.34,-449.51,-4.04
0.25,-474.47,0.86,-488.74,3.78,-499.32,6.34,-488.74,-3.01
0.50,-569.91,0.84,-550.02,3.81,-618.83,6.72,-550.02,3.49
0.75,-736.63,0.85,-638.10,3.80,-805.96,6.24,-638.10,13.38
1.00,-1059.50,0.85,-759.55,3.80,-1117.76,6.32,-759.55,28.31
