sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,108.26,1.10,50.84,4.03,58.23,6.82,58.23,-46.21
0.10,80.56,1.09,51.85,4.01,45.13,6.82,51.85,-35.63
0.25,55.76,1.10,34.68,4.02,33.08,6.83,34.68,-37.81
0.50,15.53,1.10,17.49,4.04,6.62,6.85,17.49,12.62
0.75,-13.21,1.11,-1.67,4.01,-19.20,6.82,-1.67,87.38
1.00,-36.83,1.09,-20.43,4.04,-48.59,6.81,-20.43,44.54
