sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,52.43,1.06,24.12,4.13,17.91,7.07,24.12,-53.99
0.10,42.14,1.08,17.68,4.17,11.62,7.08,17.68,-58.05
0.25,28.07,1.08,12.43,4.16,6.00,7.08,12.43,-55.70
0.50,-1.11,1.10,-0.45,4.10,-19.00,7.08,-0.45,58.89
0.75,-28.78,1.10,-18.26,4.16,-47.20,7.06,-18.26,36.55
1.00,-56.77,1.10,-39.21,4.23,-77.50,7.03,-39.21,30.94
