sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-449.63,0.85,-463.55,3.78,-444.89,6.38,-444.89,1.05
0.10,-468.58,0.84,-472.74,3.80,-480.41,6.39,-472.74,-0.89
0.25,-510.69,0.84,-507.90,3.81,-526.93,6.41,-507.90,0.55
0.50,-590.92,0.84,-566.05,3.80,-649.77,6.39,-566.05,4.21
0.75,-739.94,0.85,-647.69,3.81,-834.12,6.40,-647.69,12.47
1.00,-1091.65,0.84,-779.30,3.81,-1144.38,6.40,-779.30,28.61
