sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.97,0.45,-10.57,3.51,-13.26,5.76,-10.57,-17.86
0.10,-11.05,0.46,-10.83,3.52,-13.11,5.74,-10.83,2.05
0.25,-14.07,0.46,-11.21,3.49,-13.70,5.75,-11.21,20.37
0.50,-23.17,0.46,-12.51,3.46,-13.96,5.74,-12.51,46.01
0.75,-30.89,0.46,-13.37,3.52,-13.67,5.73,-13.37,56.73
1.00,-41.22,0.46,-14.07,3.50,-13.90,5.73,-13.90,66.27
