sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-32.41,0.46,-56.29,3.41,-64.84,5.62,-56.29,-73.66
0.10,-38.96,0.45,-60.53,3.39,-59.67,5.63,-59.67,-53.16
0.25,-64.98,0.45,-60.49,3.38,-62.77,6.79,-60.49,6.92
0.50,-128.79,0.45,-59.32,3.38,-64.60,5.63,-59.32,53.94
0.75,-241.61,0.46,-63.64,3.39,-63.43,5.61,-63.43,73.74
1.00,-395.53,0.46,-61.40,3.36,-65.26,5.62,-61.40,84.48
