sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.76,0.67,0.74,3.81,3.23,6.33,3.23,-14.25
0.10,2.20,0.67,0.09,3.69,2.74,6.35,2.74,24.44
0.25,-3.72,0.68,-1.66,3.71,0.88,6.34,0.88,123.58
0.50,-18.98,0.67,-2.16,3.73,-4.03,6.33,-2.16,88.62
0.75,-41.91,0.67,-4.10,3.66,-11.25,6.54,-4.10,90.22
1.00,-75.41,0.67,-6.18,3.66,-23.19,6.34,-6.18,91.81
