sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-33.82,0.46,-54.33,3.47,-64.70,5.65,-54.33,-60.65
0.10,-42.18,0.45,-58.10,3.46,-59.51,5.65,-58.10,-37.74
0.25,-65.48,0.45,-58.96,3.47,-62.64,6.01,-58.96,9.96
0.50,-131.43,0.45,-58.12,3.43,-64.61,5.62,-58.12,55.78
0.75,-236.97,0.44,-62.96,3.47,-63.44,5.65,-62.96,73.43
1.00,-388.62,0.44,-61.66,3.47,-65.42,5.66,-61.66,84.13
