sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,3.47,0.66,1.21,4.00,3.14,6.52,3.14,-9.44
0.10,3.69,0.67,0.95,3.82,3.05,6.52,3.05,-17.20
0.25,-0.91,0.67,-0.03,3.81,2.61,6.54,2.61,386.61
0.50,-13.46,0.68,-0.41,3.87,-1.41,6.53,-0.41,96.96
0.75,-37.41,0.68,-1.82,3.88,-9.15,6.51,-1.82,95.14
1.00,-73.00,0.69,-4.20,3.83,-20.71,6.50,-4.20,94.24
