sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-31.28,0.46,-53.78,3.65,-64.65,5.61,-53.78,-71.90
0.10,-38.96,0.46,-57.90,3.37,-59.55,5.64,-57.90,-48.62
0.25,-62.66,0.45,-58.61,3.63,-62.69,5.79,-58.61,6.46
0.50,-125.05,0.45,-57.92,3.34,-64.54,5.61,-57.92,53.68
0.75,-230.79,0.45,-62.74,3.37,-63.39,5.60,-62.74,72.82
1.00,-382.48,0.44,-61.79,3.34,-65.35,5.59,-61.79,83.85
