sp_prob,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.56,0.46,-10.41,3.45,-13.22,5.72,-10.41,-21.73
0.10,-10.66,0.45,-10.71,3.43,-13.09,5.72,-10.71,-0.45
0.25,-13.79,0.47,-11.08,3.44,-13.70,5.71,-11.08,19.60
0.50,-22.64,0.46,-12.49,3.52,-13.93,5.72,-12.49,44.82
0.75,-31.05,0.46,-13.34,3.52,-13.64,5.71,-13.34,57.03
1.00,-40.67,0.46,-14.04,3.50,-13.91,5.71,-13.91,65.78
