action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-424.70,-423.14,-443.25,-419.61,-695.84,-419.61,0.83
0.40,-424.70,-446.96,-462.98,-452.12,-977.95,-452.12,-1.15
0.80,-424.70,-502.21,-499.67,-530.89,-2005.75,-499.67,0.51
1.20,-424.70,-557.85,-531.32,-601.50,-3072.08,-531.32,4.75
1.60,-424.70,-600.43,-565.17,-651.23,-3891.76,-565.17,5.87
2.00,-424.70,-631.93,-582.11,-694.08,-4693.15,-582.11,7.88
2.40,-424.70,-650.97,-594.94,-712.98,-4964.98,-594.94,8.61
2.80,-424.70,-667.26,-605.96,-737.36,-5427.56,-605.96,9.19
3.00,-424.70,-681.69,-611.60,-744.52,-5566.81,-611.60,10.28
