action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-58.70,-59.25,-57.10,-66.70,-104.18,-57.10,3.62
0.40,-58.70,-61.34,-59.86,-66.15,-103.03,-59.86,2.41
0.80,-58.70,-71.03,-58.97,-65.39,-107.19,-58.97,16.98
1.20,-58.70,-96.57,-62.26,-63.04,-113.54,-62.26,35.52
1.60,-58.70,-113.01,-61.46,-65.10,-105.25,-61.46,45.62
2.00,-58.70,-131.16,-60.82,-66.15,-109.04,-60.82,53.63
2.40,-58.70,-145.80,-60.37,-63.12,-103.19,-60.37,58.60
2.80,-58.70,-156.83,-60.38,-63.95,-107.29,-60.38,61.50
3.00,-58.70,-163.08,-62.82,-65.63,-109.53,-62.82,61.48
