sp_prob,reward_pred_noisy,reward_prey_noisy,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
0.00,81.83,-32.88,2.73,16.60,61.12,-23.81,2.04,17.87,52.54,-21.17,1.75,18.25,84.86,-33.41,2.83,15.91,72.83,-28.93,2.43,14.87,78.71,-31.47,2.62,15.69,66.71,-27.90,2.22,15.95,72.83,-23.81,-11.00,27.59
0.10,70.16,-30.80,2.34,16.31,51.41,-21.04,1.71,18.34,53.44,-23.34,1.78,18.24,80.89,-32.78,2.70,15.75,62.25,-28.63,2.08,16.03,68.59,-28.68,2.29,16.48,58.39,-27.27,1.95,16.54,62.25,-21.04,-11.28,31.70
0.25,57.00,-29.21,1.90,17.00,40.35,-20.22,1.34,18.34,40.39,-22.12,1.35,19.10,65.74,-30.08,2.19,15.54,43.35,-27.19,1.45,17.14,53.02,-27.03,1.77,16.60,44.89,-27.45,1.50,17.16,43.35,-20.22,-23.95,30.77
0.50,32.02,-32.14,1.07,18.34,30.15,-23.78,1.00,18.72,26.85,-28.69,0.90,19.07,37.27,-26.64,1.24,17.98,29.40,-33.57,0.98,17.54,34.69,-31.24,1.16,17.89,29.10,-37.39,0.97,18.00,30.15,-23.78,-5.85,26.02
0.75,23.25,-42.61,0.78,18.36,21.26,-30.24,0.71,19.21,21.19,-42.10,0.71,19.27,23.36,-33.56,0.78,17.98,17.62,-52.81,0.59,18.89,19.69,-42.46,0.66,18.99,18.64,-52.57,0.62,18.80,21.26,-30.24,-8.55,29.04
1.00,13.88,-62.34,0.46,19.48,16.91,-44.99,0.56,19.04,11.44,-64.11,0.38,20.59,15.71,-44.72,0.52,19.03,12.68,-76.58,0.42,19.62,14.18,-63.43,0.47,19.54,13.61,-76.24,0.45,19.15,16.91,-44.99,21.89,27.83
