episode,run_0
500,-28.77709071945609
1000,-28.357337723949296
1500,-28.201079431476305
2000,-14.688314052783209
2500,-12.535874213288881
3000,-10.23202985578011
3500,-10.66189655393416
4000,-10.763538652455598
4500,-10.32052348988802
5000,-10.668700436434479
5500,-10.56344930893215
6000,-10.170309059099912
6500,-10.330681384941164
7000,-10.128912831726055
7500,-10.245560709567767
8000,-10.50299657758021
8500,-10.099857508752953
9000,-10.699095412531944
9500,-10.643821540105755
10000,-10.526072601399704
10500,-9.780383580361034
11000,-10.510903668388183
11500,-10.055963539471223
12000,-10.496598391577576
12500,-10.39720115539559
13000,-10.664018997422625
13500,-10.543611932469066
14000,-10.44099057644404
14500,-10.178443512901937
15000,-10.018762269149738
15500,-9.979560942166453
16000,-10.131760080394592
16500,-9.962530668385906
17000,-10.346640756018108
17500,-10.048562100508557
18000,-10.08633658569762
18500,-9.87737442928546
19000,-9.820912111436876
19500,-10.578709421204113
20000,-10.58159443247023
20500,-10.58290107746426
21000,-10.584810772686025
21500,-10.342848090638924
22000,-10.335869861299196
22500,-10.096926190372837
23000,-10.064984473793524
23500,-10.005636901221157
24000,-10.10214533338369
24500,-9.988089867507801
25000,-10.341699216119785
25500,-10.235150862275606
26000,-10.113727019247344
26500,-10.697458590094428
27000,-10.167241363563782
27500,-10.235979011557625
28000,-10.31460958408936
28500,-9.709803431651931
29000,-10.021035103670766
29500,-10.546266220967478
30000,-10.324953549186088
30500,-10.252693192050096
31000,-10.04757315516094
31500,-10.400857095608508
32000,-10.407074833574203
32500,-10.467792891656849
33000,-10.14424673591904
33500,-10.340264440844287
34000,-9.874491379339176
34500,-10.525598138746965
35000,-10.435992527324103
35500,-10.49505336107115
36000,-10.409549745817175
36500,-10.804036281853925
37000,-10.613522477299332
37500,-10.407476433879754
38000,-10.526623271055898
38500,-10.187758954663819
39000,-10.018014582452109
39500,-10.206169840265812
40000,-10.126981335627207
40500,-10.57380159552101
41000,-10.70760961174141
41500,-10.081514710980864
42000,-10.687461963695409
42500,-10.165382635626909
43000,-10.604825800848353
43500,-10.38046553104247
44000,-10.51194796457539
44500,-10.35261798488699
45000,-9.802082681807788
45500,-10.72669783516189
46000,-10.907516487004933
46500,-10.658443356927208
47000,-10.225975385365961
47500,-10.335438470969226
48000,-10.366047378671588
48500,-10.663135484372667
49000,-10.45539852527342
49500,-10.447347775163948
50000,-10.266311751001213
50500,-10.062107345089434
51000,-10.11664929911025
51500,-10.283140023649239
52000,-10.40613594774661
52500,-10.909715008276708
53000,-10.278378233561114
53500,-10.620126038828358
54000,-10.524352818325777
54500,-10.77968246555986
55000,-11.196753330656161
55500,-10.900337741124293
56000,-10.721685009455623
56500,-10.168143227875117
57000,-10.671453400451888
57500,-10.702331374807144
58000,-10.06869207317283
58500,-10.794445757981562
59000,-11.108924275928578
59500,-10.314630983138219
60000,-10.71642991024554
