delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.34,0.25,-11.00,3.50,-13.44,6.45,-11.00,-17.73
2,-11.35,0.23,-11.13,3.42,-13.06,6.32,-11.13,1.94
3,-13.42,0.23,-11.25,3.40,-13.87,6.23,-11.25,16.16
5,-18.06,0.20,-12.06,3.47,-13.68,6.33,-12.06,33.23
8,-24.13,0.23,-12.81,3.40,-13.75,6.34,-12.81,46.91
