delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,1.67,0.37,0.37,3.72,2.41,6.73,2.41,44.64
2,-0.58,0.34,0.28,3.66,1.13,6.82,1.13,293.96
3,-2.35,0.34,-0.12,3.80,-0.00,6.55,-0.00,99.88
5,-7.38,0.33,-0.71,3.64,-2.22,6.69,-0.71,90.34
8,-19.87,0.34,-1.41,3.83,-6.14,6.77,-1.41,92.92
