delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,44.90,0.50,28.96,3.90,33.85,7.25,33.85,-24.61
2,26.23,0.45,20.66,4.04,24.16,7.11,24.16,-7.86
3,15.72,0.45,14.11,4.00,13.74,7.15,14.11,-10.29
5,8.54,0.46,8.18,3.98,6.01,7.09,8.18,-4.25
8,-6.20,0.45,-3.85,3.89,-7.22,7.16,-3.85,37.97
