delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.50,0.36,1.08,3.72,2.71,6.56,2.71,8.39
2,-0.53,0.33,1.00,3.77,0.95,6.81,1.00,288.61
3,-2.86,0.33,0.38,3.79,-0.99,6.73,0.38,113.34
5,-8.54,0.33,-0.61,3.69,-4.09,6.86,-0.61,92.84
8,-22.36,0.38,-1.90,3.84,-8.38,6.87,-1.90,91.50
