delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-33.85,0.23,-57.30,3.37,-67.00,6.31,-57.30,-69.29
2,-35.22,0.23,-52.74,3.38,-64.10,6.26,-52.74,-49.73
3,-40.19,0.23,-54.22,3.36,-65.72,6.11,-54.22,-34.90
5,-58.51,0.23,-57.90,3.36,-64.66,6.11,-57.90,1.05
8,-97.40,0.24,-63.19,3.40,-67.30,6.30,-63.19,35.12
