delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.55,0.22,-11.09,3.45,-13.48,6.35,-11.09,-16.18
2,-11.47,0.24,-11.16,3.42,-13.07,6.28,-11.16,2.73
3,-13.65,0.22,-11.26,3.41,-13.89,6.34,-11.26,17.49
5,-18.18,0.23,-12.12,3.43,-13.68,6.27,-12.12,33.32
8,-23.75,0.23,-12.85,3.37,-13.80,6.27,-12.85,45.88
