delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.05,0.38,1.46,3.78,3.39,6.78,3.39,65.31
2,-0.46,0.38,1.33,3.82,1.69,6.83,1.69,470.97
3,-2.46,0.34,0.72,3.70,-0.14,6.76,0.72,129.39
5,-7.58,0.32,-0.08,3.75,-2.99,6.78,-0.08,98.99
8,-21.19,0.33,-1.02,3.65,-7.37,6.80,-1.02,95.19
