delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.69,0.25,-10.96,3.41,-13.47,6.30,-10.96,-13.11
2,-11.69,0.23,-11.11,3.41,-13.09,6.29,-11.11,4.96
3,-13.65,0.23,-11.22,3.48,-13.88,6.32,-11.22,17.85
5,-18.37,0.21,-11.97,3.48,-13.66,6.27,-11.97,34.86
8,-24.31,0.23,-12.79,3.43,-13.80,6.29,-12.79,47.37
