delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-60.30,0.21,-60.38,3.39,-67.18,6.16,-60.38,-0.13
2,-61.49,0.23,-55.26,3.37,-64.08,6.25,-55.26,10.13
3,-66.01,0.23,-56.38,3.32,-65.99,6.22,-56.38,14.59
5,-82.73,0.23,-60.09,3.36,-64.73,6.19,-60.09,27.37
8,-119.00,0.23,-64.64,3.34,-67.35,6.20,-64.64,45.68
