delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-60.01,0.21,-60.59,3.38,-67.10,6.10,-60.59,-0.96
2,-60.87,0.23,-55.23,3.35,-64.10,6.08,-55.23,9.25
3,-65.36,0.23,-56.52,3.29,-65.89,6.05,-56.52,13.53
5,-83.34,0.23,-60.39,3.34,-64.68,6.08,-60.39,27.54
8,-121.08,0.23,-64.91,3.35,-67.35,6.17,-64.91,46.39
