delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.57,0.23,-11.03,3.46,-13.56,6.31,-11.03,-15.29
2,-11.68,0.23,-11.14,3.37,-13.19,6.20,-11.14,4.59
3,-13.63,0.23,-11.25,3.41,-13.98,6.31,-11.25,17.45
5,-18.31,0.21,-12.04,3.40,-13.76,6.31,-12.04,34.24
8,-24.37,0.23,-12.86,3.48,-13.84,6.44,-12.86,47.23
