delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-30.23,0.24,-60.99,3.35,-67.19,6.18,-60.99,-101.78
2,-32.00,0.22,-55.70,3.34,-64.23,6.08,-55.70,-74.06
3,-38.00,0.22,-57.15,3.37,-66.00,6.26,-57.15,-50.39
5,-55.48,0.23,-60.81,3.39,-64.76,6.09,-60.81,-9.62
8,-99.79,0.22,-64.98,3.33,-67.46,6.10,-64.98,34.88
