delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,47.78,0.43,31.96,4.12,40.43,7.42,40.43,-15.40
2,29.12,0.40,29.12,4.06,29.79,7.43,29.79,2.31
3,24.03,0.47,25.77,4.13,23.95,7.42,25.77,7.25
5,18.96,0.45,19.57,4.12,18.06,7.52,19.57,3.24
8,10.73,0.40,13.54,4.17,12.28,7.34,13.54,26.18
