delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,39.90,0.44,26.12,4.28,30.28,7.19,30.28,-24.11
2,28.57,0.43,22.72,4.07,25.16,7.19,25.16,-11.93
3,21.39,0.42,18.52,4.15,18.33,7.56,18.52,-13.43
5,10.76,0.42,10.73,3.93,8.14,7.14,10.73,-0.26
8,-2.84,0.45,1.69,3.93,-3.34,7.15,1.69,159.66
