delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,31.21,0.46,24.76,3.90,20.54,7.05,24.76,-20.66
2,20.84,0.45,22.45,3.93,15.26,7.05,22.45,7.73
3,12.15,0.45,17.61,3.89,13.97,7.10,17.61,45.03
5,6.47,0.44,11.38,3.87,6.57,7.12,11.38,75.93
8,-4.24,0.45,7.31,4.01,-4.94,7.09,7.31,272.24
