delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-416.98,0.33,-438.02,3.69,-439.05,6.82,-438.02,-5.05
2,-444.34,0.34,-448.25,3.76,-475.15,6.71,-448.25,-0.88
3,-488.14,0.34,-471.44,3.73,-522.36,6.80,-471.44,3.42
5,-566.22,0.34,-518.10,3.72,-604.84,6.64,-518.10,8.50
8,-674.78,0.33,-579.33,3.74,-720.87,6.76,-579.33,14.15
