delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-412.39,0.35,-438.48,3.55,-429.40,6.55,-429.40,-4.13
2,-445.49,0.34,-450.43,3.69,-474.78,6.68,-450.43,-1.11
3,-484.41,0.35,-473.20,3.71,-517.69,6.57,-473.20,2.31
5,-565.32,0.29,-524.31,3.55,-604.36,6.52,-524.31,7.26
8,-679.74,0.34,-583.35,3.60,-719.98,6.55,-583.35,14.18
