action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-55.02,-54.45
0.40,-55.02,-61.73
0.80,-55.02,-72.86
1.20,-55.02,-99.07
1.60,-55.02,-138.53
2.00,-55.02,-118.33
