action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-0.62,-0.29
0.40,-0.62,-2.07
0.80,-0.62,-5.38
1.20,-0.62,-11.07
1.60,-0.62,-15.16
2.00,-0.62,-15.71
