action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,2.68,2.26
0.40,2.68,0.38
0.80,2.68,-3.36
1.20,2.68,-9.77
1.60,2.68,-13.80
2.00,2.68,-17.08
