action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,10.17,10.59
0.40,10.17,7.94
0.80,10.17,10.37
1.20,10.17,3.35
1.60,10.17,2.26
2.00,10.17,-4.81
