action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-8.30,-9.53
0.40,-8.30,-9.89
0.80,-8.30,-15.34
1.20,-8.30,-20.25
1.60,-8.30,-22.74
2.00,-8.30,-24.70
