action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,15.19,15.07
0.40,15.19,-30.71
0.80,15.19,-56.39
1.20,15.19,-75.46
1.60,15.19,-83.60
2.00,15.19,-92.71
