action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-29.65,-32.05
0.40,-29.65,-34.32
0.80,-29.65,-62.52
1.20,-29.65,-87.48
1.60,-29.65,-104.84
2.00,-29.65,-140.21
