action_noise_std,reward_no_noise,reward_noise_no_diffusion
0.00,-16.98,-16.03
0.40,-16.98,-30.03
0.80,-16.98,-54.33
1.20,-16.98,-70.79
1.60,-16.98,-83.29
2.00,-16.98,-90.48
